,Game ID,Week,Date,Time (EST),Time (GMT),Excel (human readable time/date),Unix Time,Lat,Lng,Location,Home Team,Away Team,Home Team Won?,Home Score,Away Score,Total Points,Summary,Wind Speed,Wind Gust,Temperature
124,46169,16,12/23/2018,1:00 PM,6:00 PM,12/23/2018 13:00,1545570000,42.090944,-71.264344,Gillette Stadium,NE,BUF,Yes,24,12,36,Clear,5.55,5.8,30.8
125,46170,16,12/23/2018,1:00 PM,6:00 PM,12/23/2018 13:00,1545570000,41.506111,-81.699444,FirstEnergy Stadium,CLE,CIN,Yes,26,18,44,Overcast,3.08,4.9,32.94
126,46171,16,12/23/2018,1:00 PM,6:00 PM,12/23/2018 13:00,1545570000,40.813528000000005,-74.074361,MetLife Stadium,NYJ,GB,No,38,44,82,Partly Cloudy,6.44,6.85,36.45
127,46172,16,12/23/2018,1:00 PM,6:00 PM,12/23/2018 13:00,1545570000,39.900833,-75.1675,Lincoln Financial Field,PHI,HOU,Yes,32,30,62,Mostly Cloudy,3.42,4.76,37.75
128,46173,16,12/23/2018,1:00 PM,6:00 PM,12/23/2018 13:00,1545570000,25.958056,-80.238889,Hard Rock Stadium,MIA,JAX,No,7,17,24,Clear,4.8,5.24,55.53
129,46179,16,12/23/2018,4:05 PM,9:05 PM,12/23/2018 16:05,1545581100,37.403,-121.97,Levi's Stadium,SF,CHI,No,9,14,23,Partly Cloudy,0.74,4.82,49.44
130,46182,16,12/23/2018,8:20 PM,1:20 AM,12/23/2018 20:20,1545596400,47.5952,122.3316,CenturyLink Field,SEA,KC,Yes,38,31,69,Partly Cloudy,3.07,7.89,2.05
131,46183,16,12/24/2018,8:15 PM,1:15 AM,12/24/2018 20:15,1545682500,37.751667,-122.200556,Oakland-Alameda County Coliseum,OAK,DEN,Yes,27,14,41,Drizzle,5.61,11.51,55.72
132,46184,17,12/30/2018,1:00 PM,6:00 PM,12/30/2018 13:00,1546174800,27.975833,-82.503333,Raymond James Stadium,TB,ATL,No,32,34,66,Mostly Cloudy,0.37,1.24,66.42
133,46189,17,12/30/2018,1:00 PM,6:00 PM,12/30/2018 13:00,1546174800,40.813528000000005,-74.074361,MetLife Stadium,NYG,DAL,No,35,36,71,Overcast,2.77,3.75,34.98
134,46190,17,12/30/2018,1:00 PM,6:00 PM,12/30/2018 13:00,1546174800,44.501389,-88.06222199999999,Lambeau Field,GB,DET,No,0,31,31,Clear,9.57,20,19.65
