Game ID,Week,Date,Time (EST),Location,Home Team,Away Team,Home Score,Away Score,Total Points,Home Total Yards,Away Total Yards,Total Yards,Home Rushing Attempts,Home Rushing Yards,Home Longest Rush,Home Rushing TDs,Home Fumbles,Home Pass Attempts,Home Pass Completions,Home Passing Yards,Home Longest Pass,Home QB Rating,Home Passing TDs,Home Interceptions,Home First Downs,Home Punts,Home FG Attempts,Home FG Made,Home FG Pct,Home FG Att 1-19,Home FG Made 1-19,Home FG Pct 1-19,Home FG Att 20-29,Home FG Made 20-29,Home FG Pct 20-29,Home FG Att 30-39,Home FG Made 30-39,Home FG Pct 30-39,Home FG Att 40-49,Home FG Made 40-49,Home FG Pct 40-49,Home FG Att 50+,Home FG Made 50+,Home FG Pct 50+,Away Rushing Attempts,Away Rushing Yards,Away Longest Rush,Away Rushing TDs,Away Fumbles,Away Pass Attempts,Away Pass Completions,Away Passing Yards,Away Longest Pass,Away QB Rating,Away Passing TDs,Away Interceptions,Away Punts,Away First Downs,Away FG Attempts,Away FG Made,Away FG Pct,Away FG Att 1-19,Away FG Made 1-19,Away FG Pct 1-19,Away FG Att 20-29,Away FG Made 20-29,Away FG Pct 20-29,Away FG Att 30-39,Away FG Made 30-39,Away FG Pct 30-39,Away FG Att 40-49,Away FG Made 40-49,Away FG Pct 40-49,Away FG Att 50+,Away FG Made 50+,Away FG Pct 50+,Summary,Precip Intensity,Precip Probability,Precip Type,Temp,Apparent Temp,Humidity,Wind Speed,Wind Gust,Cloud Cover,UV Index,Visibility,Indoor
45974,2,2018-09-16,8:20PM,AT&T Stadium,DAL,NYG,20,13,33,298,260,558,25,138,19,1,1,25,16,160,64,95.4,1,0,16,4,2,2,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,17,35,10,0,1,44,33,225,37,98.6,1,0,6,17,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Partly Cloudy,0,0,No Data,87.31,93.05,0.58,2.47,3.04,0.29,0,10,True
45975,2,2018-09-17,8:15PM,Soldier Field,CHI,SEA,24,17,41,271,275,546,27,86,17,0,0,34,25,185,38,83.0,2,2,21,5,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,22,74,10,0,3,36,22,201,34,86.1,2,1,7,17,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,Clear,0,0,No Data,80.77,82.8,0.6,2.48,2.8,0.15,0,10,False
45976,3,2018-09-20,8:20PM,FirstEnergy Stadium,CLE,NYJ,21,17,38,323,288,611,33,133,22,2,2,37,21,190,98,74.2,0,0,20,8,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,30,107,21,2,1,31,15,181,37,40.9,0,2,7,14,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Humid,0,0,No Data,78.91,82.05,0.81,3.7,4.58,0.06,0,2.53,False
45977,3,2018-09-23,1:00PM,US Bank Stadium,MIN,BUF,6,27,33,286,292,578,6,14,11,0,4,55,40,272,19,83.6,1,1,20,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,38,128,10,2,3,22,15,164,55,111.2,1,0,6,16,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,Clear,0,0,No Data,69.02,69.02,0.56,6.2,6.54,0.04,5,10,True
45978,3,2018-09-23,1:00PM,Bank of America Stadium,CAR,CIN,31,21,52,377,396,773,41,230,45,2,1,24,15,147,27,108.0,2,0,23,4,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,13,66,23,1,0,46,29,330,49,64.8,2,4,3,25,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,Mostly Cloudy,0,0,No Data,81.77,85.12,0.66,1.73,4.18,0.67,5,9.18,False
45979,3,2018-09-23,1:00PM,M&T Bank Stadium,BAL,DEN,27,14,41,342,293,635,28,77,14,2,1,40,25,265,44,91.4,1,0,20,5,3,2,66.7,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,2,2,100.0,24,120,35,2,1,34,22,173,22,67.3,0,1,7,18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Drizzle,0.0102,0.39,rain,62.65,63.02,0.94,4.98,6.51,1,4,5.27,False
45980,3,2018-09-23,1:00PM,FedEx Field,WAS,GB,31,17,48,386,340,726,35,166,41,2,0,20,12,220,50,110.4,2,1,20,5,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,17,100,17,0,2,45,27,240,64,91.4,2,0,5,19,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Drizzle,0.0175,0.42,rain,63.24,63.71,0.95,4.57,5.85,1,4,4.5,False
45981,3,2018-09-23,1:00PM,Lincoln Financial Field,PHI,IND,20,16,36,379,209,588,35,152,16,1,4,37,25,227,34,84.8,1,1,25,3,3,2,66.7,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,1,0,0.0,13,68,33,0,0,41,25,141,29,77.7,1,0,5,14,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Light Rain,0.0239,0.82,rain,61.28,61.55,0.94,3.73,3.97,0.99,4,8.41,False
45982,3,2018-09-23,1:00PM,Mercedes-Benz Stadium,ATL,NO,37,43,80,408,534,942,23,49,15,0,0,35,26,359,75,148.1,5,0,23,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,27,128,35,2,1,49,39,406,35,122.0,3,0,4,32,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Partly Cloudy,0,0,No Data,85.07,86.82,0.51,3.32,7.8,0.47,6,3.94,True
45983,3,2018-09-23,1:00PM,NRG Stadium,HOU,NYG,22,27,49,427,379,806,19,59,10,0,1,40,24,368,39,98.4,2,1,21,3,3,3,100.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,27,114,24,1,2,29,25,265,30,132.3,2,0,4,22,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mostly Cloudy,0,0,No Data,79.16,81.8,0.72,7.18,7.23,0.71,5,10,True
