Game ID,Summary,Precip Intensity,Precip Probability,Precip Type,Temp,Apparent Temp,Humidity,Wind Speed,Wind Gust,Cloud Cover,UV Index,Visibility
46132,Clear,0,0,No Data,68.52,68.52,0.27,14.55,15.7,0,0,10
46133,Drizzle,0.0054,0.52,rain,51.62,51.62,0.98,3.13,5.52,1,0,3.26
46134,Overcast,0,0,No Data,45.84,45.84,0.79,1.06,3.03,0.95,1,4.37
46129,Partly Cloudy,0,0,No Data,58.94,58.94,0.48,9.77,10.48,0.44,0,10
46135,Partly Cloudy,0,0,No Data,47.54,45.77,0.59,4.34,5.7,0.26,0,10
46136,Overcast,0,0,No Data,43.07,40.83,0.5,4.04,4.57,1,0,10
46137,Partly Cloudy,0,0,No Data,26.54,16.24,0.69,11.34,11.34,0.41,1,9.67
46138,Clear,0,0,No Data,29.71,29.71,0.63,1.43,1.53,0,2,10
46139,Clear,0,0,No Data,34.25,34.25,0.51,1.4,3.56,0.06,2,3.41
46140,Overcast,0,0,No Data,46.15,41.12,0.78,10.42,10.57,1,3,10
46142,Mostly Cloudy,0,0,No Data,82.85,88.01,0.7,17.75,17.75,0.66,3,10
46143,Light Rain,0.0373,0.64,rain,70.83,71.93,0.92,7.84,9.09,0.86,3,8.86
46144,Mostly Cloudy,0,0,No Data,32.85,28.2,0.57,4.85,5.33,0.77,2,8.74
46145,Mostly Cloudy,0,0,No Data,29.69,19.26,0.71,13.43,14.5,0.75,1,10
46146,Clear,0,0,No Data,71.51,71.51,0.37,0.56,7.09,0.15,2,9.94
46147,Mostly Cloudy,0,0,No Data,55.61,55.61,0.69,2.29,5.92,0.85,2,8.01
46148,Clear,0,0,No Data,69.02,69.02,0.36,0.58,4.08,0.11,2,10
46149,Clear,0,0,No Data,49.52,46.68,0.58,6.84,8.84,0.13,1,10
46150,Mostly Cloudy,0,0,No Data,51.2,51.2,0.8,3.36,7.43,0.67,2,6.63
46141,Clear,0,0,No Data,25.87,21.89,0.8,3.33,3.83,0,0,7.49
46151,Mostly Cloudy,0.0005,0.05,rain,46.51,44.23,0.82,4.85,5.44,0.82,0,4.95
46152,Overcast,0,0,No Data,37.3,31,0.86,8.56,8.92,1,0,9.01
46154,Mostly Cloudy,0,0,No Data,50.34,50.34,0.73,6.11,6.55,0.66,0,10
46153,Clear,0,0,No Data,43.82,43.82,0.31,1.89,8.22,0.19,0,3.72
46155,Clear,0,0,No Data,49.22,46.88,0.69,5.74,5.95,0,2,10
46156,Clear,0,0,No Data,42.69,38.7,0.54,6.43,7,0,1,10
46157,Overcast,0,0,No Data,43.29,43.29,0.87,2.91,3.98,1,2,3.88
46158,Light Rain,0.0277,0.87,rain,40.03,33.73,0.93,9.87,10.24,1,1,2.67
